DW_TEMPO;invoice_date;Ano;Mes;Dia;Trimestre
a5d7a6438a17508ce2fc204fe2ef533c89cc77c420d20c5492b7e9f0b73868da;2017-04-09 00:00:00;2017;4;9;2
7307ae0340810808963151173225393d975f1864564378f47853a8acaa332865;2019-02-03 00:00:00;2019;2;3;1
8ab96d98f43c605e00f023a65bc3219cc074eb067136c0c97f4fbc5e4fad0c33;2018-01-29 00:00:00;2018;1;29;1
560cc886bcacf0b6cb5cda0ea84114ae406cda6a0f04f900684ca6728d6000e9;2018-05-22 00:00:00;2018;5;22;2
fbbfc3fd29695505e332d0e488af3ef5f6e214a9de34ac197a922c94d10318c6;2017-02-15 00:00:00;2017;2;15;1
1cf55985e9537b9903e9443df199a4cd4a2c48404d1a26ed4eb099e77acdce46;2018-11-07 00:00:00;2018;11;7;4
2dcbd02c271e6e8ba52120c262b8c437c80dc26bc784594fee1cbc7409b69d0d;2018-12-15 00:00:00;2018;12;15;4
d7f1d9ea1e51a45325223a4fcdb1d48adb9c861b69367aa4fb7da315f9f95055;2017-08-04 00:00:00;2017;8;4;3
5754c0b44769549c2cd311e9caa9329fcdf773e8313827cd0112c3a314fe462f;2017-12-29 00:00:00;2017;12;29;4
b1211608c984a863400cb4739103abdfefad06c41a181ad3ed08668c2988b019;2018-09-25 00:00:00;2018;9;25;3
cdf60784295a13b699d636ddcba3203d07008d81178d34fdf0cd4d8c2761f6e7;2018-08-26 00:00:00;2018;8;26;3
61b90e057eca964a34840f37d66970d5508e80e1d1b31b67d88c63dcd11c6a16;2018-08-27 00:00:00;2018;8;27;3
cef95d830fcee5ff59229c313dc8524050f07365dd9cab258f9b3757d6990b02;2018-10-27 00:00:00;2018;10;27;4
17c9739e286a40e041025a43166f23792d1cb7df87cddf8c58e3cb0c516fdb4e;2017-10-06 00:00:00;2017;10;6;4
adbf6185175a9b769e04695065e95a591acb5a4e236cfe242cb010510dfe50b5;2017-10-27 00:00:00;2017;10;27;4
265ae4870eaeb5c3ef76be468643d7cb12c4809953331100a0eb032cd02cbf06;2017-11-01 00:00:00;2017;11;1;4
53de84206f6901fbe99936e6017b1633b3bf202bfcf80e2b2e0fc2304f96f5e8;2017-12-10 00:00:00;2017;12;10;4
69ec9428d80eaa98e66da2bdd5254537e14022ed2a8d05f2ee2082cc3c210a7c;2018-05-08 00:00:00;2018;5;8;2
74170b4b05e150ccba238f9caebc4f31d28c554fdf81aba0aeab5eb3ba3865fb;2019-02-07 00:00:00;2019;2;7;1
21d8dc47d087ddbcc9eb8eb7fd80c5eb37ba3d4ac10a7a04890de90673dab179;2018-01-15 00:00:00;2018;1;15;1
c625aab832b39e4e4db247a12136f77f965961f9132224bd89ede9c6a9965992;2017-03-25 00:00:00;2017;3;25;1
bc0d3097a1bd62116b2e387f379c64ae0b6c2b6c8f9be63c14ea6e408d2a9b6c;2019-03-14 00:00:00;2019;3;14;1
76554f14f32888dc1a2e17cc40bfbab2b2c016bb2e3262d701d80e5039dad3e0;2018-07-14 00:00:00;2018;7;14;3
